sensor_id,region,latitude,longitude,temperature,humidity,vibration,network_traffic
0,server_nord,12.3847,2.1963,22.05,49.38,3.157,578.91
1,server_nord,11.4741,2.0745,36.38,80.65,0.477,119.84
2,server_nord,12.8662,3.1247,25.61,63.17,0.929,329.43
3,server_nord,12.5261,1.9466,21.06,48.92,2.937,480.75
4,server_nord,12.8013,2.4489,17.67,36.2,2.421,401.63
5,server_nord,13.2692,2.2016,27.06,68.14,1.142,225.02
6,server_nord,12.6078,2.513,28.29,64.91,1.128,264.0
7,server_nord,13.02,2.5871,28.75,56.91,0.817,297.01
8,server_nord,12.1382,1.4312,34.05,78.06,0.492,108.16
9,server_nord,10.7448,3.5447,27.33,56.09,0.846,311.09
10,server_nord,13.895,2.6837,21.1,46.72,3.053,446.26
11,server_nord,12.3892,1.8935,16.73,55.82,2.121,516.05
12,server_nord,12.5218,3.0701,21.94,36.54,2.09,462.0
13,server_nord,12.9365,2.2945,22.78,46.34,3.042,571.47
14,server_nord,12.719,1.6934,32.98,84.46,0.425,123.03
15,server_nord,10.6943,1.8294,27.31,51.07,0.847,242.75
16,server_nord,12.2538,2.074,22.13,45.54,2.361,374.37
17,server_nord,13.8344,2.1214,32.31,53.67,0.914,304.47
18,server_nord,12.1431,2.0814,31.63,77.87,0.497,119.87
19,server_nord,12.4287,2.4063,26.1,34.57,2.439,525.85
20,server_nord,13.8966,1.2915,34.58,70.86,0.622,116.6
21,server_nord,13.3267,2.926,29.56,66.33,0.595,185.88
22,server_nord,13.7106,1.8652,28.65,64.94,1.29,248.23
23,server_nord,11.6062,2.5747,35.01,81.82,0.626,123.35
24,server_nord,12.4183,2.262,26.78,56.83,1.328,205.62
25,server_nord,13.0324,2.4905,24.9,60.68,0.931,168.4
26,server_nord,11.9702,2.0937,22.69,40.14,2.936,548.61
27,server_nord,11.704,2.6109,31.43,62.92,0.957,238.76
28,server_nord,12.304,1.2326,35.01,83.25,0.401,126.64
29,server_nord,12.3918,2.7476,31.28,83.48,0.469,118.0
30,server_nord,14.0213,2.2949,38.48,75.66,0.558,139.95
31,server_nord,12.6829,2.8918,35.07,80.28,0.324,149.04
32,server_nord,12.6435,1.8202,35.91,54.78,0.701,228.14
33,server_nord,12.878,2.716,32.8,77.02,0.5,113.14
34,server_nord,11.6834,1.9421,31.5,72.76,1.112,262.37
35,server_nord,11.5078,1.7941,31.08,86.77,0.381,108.85
36,server_nord,12.8206,2.3613,25.37,56.34,1.124,239.22
37,server_nord,12.3754,1.8668,24.94,53.44,1.391,548.86
38,server_nord,12.6006,2.2677,36.33,59.81,1.124,262.3
39,server_nord,12.3225,3.6897,36.39,76.7,0.604,151.7
40,server_nord,12.1833,1.5096,24.35,58.39,0.564,218.82
41,server_nord,13.8058,3.0458,23.07,47.53,2.123,479.06
42,server_nord,11.4939,1.716,33.5,70.96,0.424,119.48
43,server_nord,12.7165,2.1943,26.22,62.23,1.343,251.53
44,server_nord,12.0939,1.9451,24.35,63.35,0.91,242.72
45,server_nord,13.6538,1.9888,31.36,77.32,0.451,114.39
46,server_nord,12.9781,2.6698,36.11,77.96,0.5,129.32
47,server_nord,12.8124,1.0765,26.92,42.82,2.828,473.56
48,server_nord,13.2498,3.2177,35.33,79.24,0.492,102.09
49,server_nord,13.8063,1.8451,28.73,55.61,1.022,231.39
50,server_nord,13.5988,1.446,36.4,90.64,0.391,150.04
51,server_nord,12.8924,1.9918,28.78,65.01,1.344,171.39
52,server_nord,12.2915,3.145,19.52,31.07,2.442,516.52
53,server_nord,12.9458,1.9741,29.91,58.9,1.166,276.9
54,server_nord,12.4067,1.7841,29.23,59.71,1.105,234.67
55,server_nord,13.3232,2.4768,30.78,56.64,0.937,185.37
56,server_nord,12.1358,1.7985,39.27,76.45,0.394,99.37
57,server_nord,13.7169,3.2084,27.07,65.73,0.863,269.27
58,server_nord,13.0823,2.7495,19.14,29.5,2.184,455.07
59,server_nord,12.4782,2.2949,23.3,58.61,2.154,456.17
60,server_nord,11.379,2.622,22.7,62.16,1.035,226.62
61,server_nord,13.3295,2.6669,27.19,58.19,1.14,241.31
62,server_nord,11.9626,3.3101,36.48,80.57,0.308,126.06
63,server_nord,13.2425,2.5742,24.46,55.63,0.849,276.92
64,server_nord,13.2323,3.0322,35.25,76.54,0.551,90.91
65,server_nord,11.5038,2.4692,31.54,82.43,0.353,68.37
66,server_nord,10.8833,1.4709,18.37,36.71,1.558,495.48
67,server_nord,10.8701,1.9208,29.76,54.98,1.004,173.44
68,server_nord,12.2631,3.3252,20.32,40.42,2.863,530.7
69,server_nord,12.4045,2.8218,29.25,61.66,0.915,265.45
70,server_nord,12.686,2.9053,19.0,42.81,2.64,580.47
71,server_nord,13.3758,1.8526,33.12,61.51,0.798,229.15
72,server_nord,13.1307,2.1221,26.5,29.23,1.776,564.66
73,server_nord,11.4576,2.0668,33.41,80.29,0.401,121.79
74,server_nord,11.8017,1.3631,29.43,65.8,1.194,290.11
75,server_nord,13.2893,2.4013,27.46,57.85,0.638,284.83
76,server_nord,12.7583,2.7236,22.64,51.91,2.534,422.09
77,server_nord,12.5191,1.167,23.72,37.23,2.499,473.83
78,server_nord,13.0443,2.1728,35.57,72.88,0.507,71.13
79,server_nord,12.5508,2.4156,35.16,85.65,0.683,152.0
80,server_nord,11.8992,2.4006,24.03,54.51,2.497,460.54
81,server_nord,13.3727,0.893,30.95,74.54,0.306,99.97
82,server_nord,11.1496,3.3089,37.72,83.52,0.468,113.35
83,server_nord,12.7195,1.1423,29.52,49.94,0.947,245.34
84,server_nord,11.3473,2.1196,33.17,79.83,0.609,89.86
85,server_nord,14.1046,3.24,30.15,55.81,1.071,270.42
86,server_nord,11.3509,2.1815,29.11,53.03,0.787,254.43
87,server_nord,12.4248,1.829,35.41,78.14,0.555,109.88
88,server_nord,11.4286,2.4812,20.19,53.0,2.237,582.42
89,server_nord,12.1214,2.6669,25.41,36.51,2.488,511.27
90,server_nord,12.8206,2.2186,25.35,64.24,1.014,295.4
91,server_nord,12.2929,1.6645,36.18,81.95,0.469,104.03
92,server_nord,11.7105,1.9669,23.31,76.83,0.823,238.4
93,server_nord,11.8441,2.4471,35.95,82.25,0.591,136.91
94,server_nord,12.5392,1.9172,34.88,75.99,0.357,101.96
95,server_nord,10.6574,1.3379,34.46,84.53,0.449,149.71
96,server_nord,12.6709,2.4308,32.08,77.46,0.641,148.71
97,server_nord,10.8783,2.3698,27.39,66.69,0.72,337.39
98,server_nord,12.4752,3.4934,35.89,75.45,0.626,132.65
99,server_nord,12.9292,2.4127,29.0,59.2,1.003,301.12
100,server_nord,11.5687,2.7061,28.46,67.21,0.794,263.23
101,server_nord,14.0501,0.8977,21.04,43.82,2.721,490.93
102,server_nord,12.5896,1.4617,21.06,41.04,2.591,528.05
103,server_nord,13.3753,2.311,27.37,60.29,0.961,281.68
104,server_nord,12.6954,2.122,38.13,75.95,0.396,99.19
105,server_nord,13.2698,2.0444,28.22,63.37,0.989,272.05
106,server_nord,13.8206,2.6895,27.98,52.21,0.975,270.01
107,server_nord,12.0336,1.4375,18.5,44.97,2.625,511.05
108,server_nord,11.8577,2.5192,24.13,45.93,2.046,358.84
109,server_nord,12.3601,2.2361,29.42,52.92,1.01,225.26
110,server_nord,11.6417,2.2229,23.66,54.65,2.115,430.27
111,server_nord,13.1216,2.601,21.39,48.39,2.774,569.8
112,server_nord,11.3212,2.3252,23.47,35.68,2.083,519.47
113,server_nord,11.5579,3.7247,25.7,33.79,3.509,501.17
114,server_nord,12.2405,2.3474,25.29,67.7,0.762,202.09
115,server_nord,12.7905,3.0254,17.7,49.69,3.472,648.7
116,server_nord,12.0414,2.0196,34.88,80.77,0.44,127.8
117,server_nord,12.7133,2.0528,34.31,77.69,0.576,113.18
118,server_nord,12.2708,1.7024,24.23,44.26,2.033,475.09
119,server_nord,13.3406,1.963,36.06,76.97,0.526,99.94
120,server_nord,13.3723,2.0132,34.65,84.12,0.185,81.64
121,server_nord,12.0472,2.3221,25.76,60.53,1.016,211.2
122,server_nord,13.9732,1.8041,28.17,65.88,1.127,217.65
123,server_nord,12.1239,2.9177,18.66,52.75,3.105,296.9
124,server_nord,12.2804,2.3048,30.19,58.84,1.312,295.55
125,server_nord,13.9236,3.0728,34.65,74.94,0.467,110.43
126,server_nord,10.428,2.6016,19.84,39.37,2.891,534.52
127,server_nord,12.0479,1.6411,17.62,33.04,1.878,507.55
128,server_nord,12.067,2.0047,35.59,50.12,0.996,207.33
129,server_nord,13.4238,2.7931,32.11,82.67,0.525,116.5
130,server_nord,12.6906,1.8209,19.96,47.53,1.856,563.55
131,server_nord,12.7112,2.6369,30.39,53.95,1.025,338.21
132,server_nord,13.0535,2.8223,17.69,47.98,2.95,446.89
133,server_nord,12.2643,3.0337,33.28,81.65,0.378,105.07
134,server_nord,11.9604,2.5084,22.93,52.49,2.134,506.2
135,server_nord,11.5588,1.9573,26.06,75.91,0.913,223.14
136,server_nord,11.3856,1.9325,33.42,57.82,0.989,174.38
137,server_nord,13.6339,1.7058,33.54,77.1,0.409,98.92
138,server_nord,11.9396,1.4384,27.43,57.05,1.23,282.22
139,server_nord,13.8673,2.5593,32.15,76.11,0.571,128.97
140,server_nord,12.4921,1.9271,35.93,70.04,0.421,137.63
141,server_nord,12.4323,2.6562,24.46,43.64,3.12,394.93
142,server_nord,12.1897,2.3469,37.05,73.82,0.759,113.43
143,server_nord,12.7567,1.7608,25.71,45.87,1.783,533.52
144,server_nord,12.0029,1.5975,29.11,58.95,1.005,258.96
145,server_nord,13.2672,1.7878,28.16,62.13,1.196,171.61
146,server_nord,12.236,2.8819,35.53,80.39,0.55,119.75
147,server_nord,12.5947,3.0418,17.72,48.42,2.448,306.91
148,server_nord,11.3491,2.7807,37.19,75.19,0.569,96.08
149,server_nord,13.1012,2.1184,26.14,64.72,1.375,225.95
150,server_nord,13.4876,2.8336,30.93,55.0,1.149,261.93
151,server_nord,14.413,2.0095,23.74,48.01,1.648,336.33
152,server_nord,13.1846,2.4689,35.31,76.7,0.561,97.71
153,server_nord,11.2455,1.7325,34.46,82.49,0.506,119.12
