sensor_id,region,latitude,longitude,temperature,humidity,vibration,network_traffic
1500,server_centre,10.246,2.5378,35.77,91.72,0.567,112.86
1501,server_sud,7.875,2.9033,25.5,49.74,3.2,352.23
1502,server_est,9.0766,4.2702,27.61,57.25,0.561,266.2
1503,server_sud,6.2829,2.2739,21.82,52.2,2.525,456.37
1504,server_est,9.7914,3.0099,28.76,58.87,0.638,252.93
1505,server_est,10.5282,2.9711,34.57,81.58,0.358,136.47
1506,server_nord,13.1945,1.8552,34.92,81.45,0.616,125.28
1507,server_sud,5.7817,2.6128,35.67,80.23,0.527,83.87
1508,server_est,8.8921,3.1317,27.76,52.41,1.323,271.93
1509,server_centre,8.5369,2.5705,35.75,81.66,0.338,91.26
1510,server_sud,6.6971,3.0028,35.07,82.19,0.603,121.3
1511,server_est,7.2672,2.7369,36.06,77.29,0.532,122.39
1512,server_ouest,9.601,1.3626,16.95,34.91,2.764,499.49
1513,server_ouest,9.0949,1.2409,39.19,85.45,0.543,150.07
1514,server_sud,7.6666,1.6881,20.36,26.45,2.579,434.62
1515,server_centre,8.6777,2.2205,26.87,59.28,0.883,283.79
1516,server_est,9.1778,3.521,36.32,74.91,0.457,143.88
1517,server_nord,11.4757,3.0938,36.43,80.82,0.342,132.46
1518,server_nord,14.0085,2.4522,21.48,52.76,2.598,470.26
1519,server_sud,6.881,1.9324,36.28,76.26,0.565,123.74
1520,server_centre,8.771,1.6755,26.94,67.05,0.974,257.5
1521,server_est,9.5204,2.957,23.48,35.06,2.521,427.02
1522,server_est,8.7265,3.7551,31.76,55.65,1.09,202.49
1523,server_sud,7.5888,1.3015,17.76,50.87,2.546,438.35
1524,server_ouest,7.0462,1.5831,35.24,80.64,0.575,73.25
1525,server_nord,13.8742,2.2923,20.43,51.83,2.146,449.67
1526,server_sud,6.6951,1.3287,30.13,60.4,0.798,185.58
1527,server_centre,9.1599,2.3387,29.92,82.72,0.309,124.78
1528,server_centre,8.4158,2.729,34.55,86.77,0.486,126.7
1529,server_centre,9.2293,3.3534,23.06,41.94,2.307,467.06
1530,server_est,9.1757,3.1373,31.69,62.18,1.169,209.53
1531,server_nord,11.9566,2.1579,34.79,59.18,1.384,257.81
1532,server_sud,6.1657,2.3544,34.53,81.63,0.388,128.27
1533,server_centre,9.5961,3.0476,24.91,64.33,1.079,234.37
1534,server_sud,5.8083,2.0469,24.32,40.34,2.89,476.39
1535,server_nord,12.6291,2.4532,35.39,79.4,0.359,97.01
1536,server_est,9.2189,2.535,26.63,46.16,0.809,286.48
1537,server_centre,7.2452,3.7275,39.85,76.49,0.629,118.75
1538,server_est,8.6108,2.7869,27.48,48.43,0.936,247.74
1539,server_ouest,8.9763,0.5879,21.31,60.1,2.4,557.66
1540,server_centre,9.9678,0.7251,31.81,82.28,0.556,129.85
1541,server_ouest,9.0182,1.6264,30.1,62.63,0.856,252.88
1542,server_ouest,9.6903,2.3164,36.34,78.31,0.626,103.84
1543,server_centre,8.1761,1.6415,21.52,48.04,1.243,608.93
1544,server_est,7.849,3.5451,38.31,73.98,0.55,120.99
1545,server_sud,6.5227,1.4586,21.93,40.85,3.019,518.06
1546,server_centre,9.7255,2.2798,32.72,53.64,0.876,282.17
1547,server_est,9.5359,3.9993,27.13,34.72,1.919,439.78
1548,server_nord,14.1113,2.9039,25.59,38.99,2.469,414.57
1549,server_ouest,9.0989,0.2719,28.56,46.7,1.077,243.51
1550,server_nord,11.8602,1.9802,25.9,61.52,1.142,307.38
1551,server_sud,6.7397,2.3079,21.06,45.11,1.893,489.18
1552,server_est,9.9702,2.9745,18.23,53.96,2.64,493.26
1553,server_centre,8.7145,2.5048,27.09,65.1,1.083,278.43
1554,server_ouest,7.9561,1.6676,24.16,42.69,2.314,476.56
1555,server_centre,9.0789,2.0138,32.74,78.08,0.566,143.58
1556,server_nord,13.4652,2.1134,38.78,80.4,0.567,122.17
1557,server_est,8.723,3.79,35.82,76.35,0.621,139.9
1558,server_nord,11.7002,2.5185,23.39,47.25,2.368,617.02
1559,server_sud,6.8369,1.4649,34.75,75.59,0.42,119.29
1560,server_est,9.3524,3.2922,25.75,72.53,0.576,287.74
1561,server_est,8.868,4.5494,29.83,52.83,1.267,232.36
1562,server_centre,9.8071,2.7418,34.27,76.52,0.606,149.86
1563,server_ouest,9.3917,1.5909,38.76,77.0,0.5,118.4
1564,server_nord,11.4022,2.3482,29.14,65.62,0.984,289.0
1565,server_est,9.571,4.0531,27.13,56.85,0.955,277.63
1566,server_sud,5.9423,1.794,26.17,63.53,0.911,252.15
1567,server_nord,14.159,2.0047,19.14,49.22,2.509,584.13
1568,server_centre,8.616,2.4156,33.84,84.12,0.643,149.8
1569,server_ouest,8.518,0.6574,34.39,85.76,0.635,97.69
1570,server_nord,11.8465,2.0979,26.97,65.45,0.812,264.39
1571,server_nord,12.3517,3.262,21.4,43.15,2.165,518.28
1572,server_centre,7.9442,2.0659,37.61,77.78,0.435,143.91
1573,server_nord,12.6573,2.2619,25.95,51.71,3.227,428.47
1574,server_est,9.7342,3.574,34.14,82.53,0.568,140.66
1575,server_centre,9.1814,2.6447,20.98,49.86,2.376,311.26
1576,server_nord,13.2577,1.4693,30.01,63.63,0.884,252.21
1577,server_sud,7.5174,2.5287,28.03,64.78,1.25,299.1
1578,server_ouest,10.3924,1.9235,22.77,42.57,1.721,496.47
1579,server_ouest,10.8075,1.3249,26.87,57.89,0.969,179.33
1580,server_centre,10.0761,1.264,17.59,50.98,2.322,583.95
1581,server_nord,12.3953,3.1731,19.73,50.93,2.589,580.46
1582,server_sud,4.6633,2.5368,25.55,59.76,1.322,247.23
1583,server_sud,6.501,1.4529,23.32,66.46,2.21,534.95
1584,server_sud,6.0198,2.4418,19.29,57.66,2.721,494.58
1585,server_centre,9.8018,3.6819,28.0,63.31,0.831,219.72
1586,server_est,9.5185,3.2913,21.97,51.91,2.35,538.92
1587,server_sud,5.9957,1.648,34.84,83.4,0.393,111.15
1588,server_ouest,9.0517,2.0043,18.66,47.21,1.728,455.69
1589,server_nord,13.2415,1.9999,32.61,85.92,0.587,148.27
1590,server_centre,9.8245,3.4458,37.04,81.28,0.586,151.68
1591,server_ouest,10.5394,2.1407,19.97,48.97,2.116,526.34
1592,server_sud,5.3055,2.2833,20.34,43.12,2.31,617.75
1593,server_est,10.2359,3.3283,27.98,66.69,1.421,214.28
1594,server_centre,9.9505,3.1161,25.11,45.51,2.609,524.15
1595,server_nord,12.3046,2.658,30.3,63.7,1.232,281.41
1596,server_est,9.9121,3.9638,29.71,56.31,1.13,252.32
1597,server_sud,7.0925,1.3097,27.69,54.31,1.05,157.19
1598,server_est,8.3647,3.2756,34.22,78.72,0.513,132.26
1599,server_est,10.6432,4.1423,26.49,55.35,0.652,214.13
1600,server_est,9.2528,4.5729,26.61,54.08,1.172,310.9
1601,server_centre,10.5117,2.8875,36.41,84.45,0.54,120.01
1602,server_nord,13.4464,3.1255,20.64,38.87,2.25,499.91
1603,server_est,8.4193,4.1431,25.87,60.83,0.756,243.22
1604,server_est,10.592,2.2479,29.98,51.82,1.137,206.67
