sensor_id,region,latitude,longitude,temperature,humidity,vibration,network_traffic
1200,server_est,10.4204,2.8218,37.02,84.13,0.554,84.93
1201,server_est,9.4346,3.9085,26.28,63.08,1.367,244.0
1202,server_est,9.8044,3.5023,25.74,63.08,0.949,291.25
1203,server_est,9.7292,3.8449,35.41,83.0,0.604,113.04
1204,server_est,9.7017,3.1465,35.0,70.9,0.602,173.31
1205,server_est,10.0967,3.033,30.75,65.41,1.074,258.14
1206,server_est,9.7066,3.6543,33.04,77.08,0.479,111.84
1207,server_est,10.7385,3.8749,33.21,72.4,0.566,123.58
1208,server_est,9.7015,2.9376,32.22,59.16,1.206,231.27
1209,server_est,9.0593,4.0429,20.86,38.33,2.353,554.31
1210,server_est,8.9811,3.9632,30.2,61.98,0.956,266.09
1211,server_est,8.3066,3.7484,30.91,48.26,1.101,253.29
1212,server_est,7.5711,3.2181,33.12,85.11,0.438,100.91
1213,server_est,9.0588,3.701,32.41,57.11,1.188,253.94
1214,server_est,10.8928,3.8089,21.04,39.75,1.684,512.72
1215,server_est,9.7019,2.9658,27.9,43.7,3.174,426.93
1216,server_est,9.3566,3.8804,37.8,72.54,0.535,89.0
1217,server_est,10.4205,3.6396,34.05,87.09,0.306,107.71
1218,server_est,9.9283,4.0678,32.52,80.7,0.503,132.22
1219,server_est,10.6658,3.1803,32.09,83.15,0.623,158.87
1220,server_est,10.6168,2.9125,34.43,72.73,0.642,111.06
1221,server_est,8.5831,2.3292,27.83,57.42,0.855,174.27
1222,server_est,10.7408,3.0748,30.11,62.17,1.279,214.73
1223,server_est,9.3179,2.6367,30.62,58.65,1.016,280.81
1224,server_est,9.401,3.782,21.58,26.21,2.492,460.28
1225,server_est,8.4433,4.3683,21.85,44.78,3.073,537.56
1226,server_est,10.7811,2.1259,22.71,30.83,2.738,483.23
1227,server_est,8.9484,2.8129,33.03,83.8,0.446,122.74
1228,server_est,10.9273,3.0985,21.28,40.91,2.327,629.74
1229,server_est,10.3753,2.586,33.6,77.5,0.551,119.38
1230,server_est,10.7524,3.4814,20.58,40.91,2.164,701.45
1231,server_est,10.86,3.8951,35.65,76.96,0.48,83.74
1232,server_est,9.4194,3.3123,37.0,73.69,0.444,155.01
1233,server_est,9.9015,3.3152,33.27,78.65,0.367,65.24
1234,server_est,9.5386,2.9031,27.7,55.16,1.275,221.11
1235,server_est,9.1543,3.4193,22.06,34.46,2.83,353.45
1236,server_est,9.2777,2.8577,33.09,77.48,0.288,124.7
1237,server_est,9.8614,4.5494,34.98,79.33,0.48,94.11
1238,server_est,8.4594,1.886,30.93,89.97,0.474,109.03
1239,server_est,10.2035,3.695,22.42,47.37,3.219,485.67
1240,server_est,7.7381,2.6213,27.68,55.57,1.148,277.3
1241,server_est,9.1498,4.2641,33.89,76.03,0.436,86.73
1242,server_est,8.7457,2.6266,25.39,65.73,0.971,252.07
1243,server_est,9.8034,3.7048,26.54,53.75,1.258,257.52
1244,server_est,8.9256,3.2885,30.78,64.5,0.333,369.12
1245,server_est,9.3029,3.017,35.59,81.06,0.65,100.7
1246,server_est,10.0826,4.5078,32.1,85.71,0.526,95.96
1247,server_est,10.9028,3.9469,27.0,49.67,1.238,297.03
1248,server_est,11.1684,3.2259,36.99,74.12,0.609,120.73
1249,server_est,9.4111,3.6559,28.4,63.42,0.639,220.11
1250,server_est,11.6828,3.866,26.04,74.9,1.26,346.87
1251,server_est,9.1702,3.12,37.28,77.99,0.53,91.28
1252,server_est,8.5127,3.767,25.88,72.17,1.273,248.9
1253,server_est,8.2818,3.4391,28.78,56.0,1.064,281.24
1254,server_est,10.4973,2.1911,24.83,57.42,0.945,313.69
1255,server_est,8.6082,3.8568,17.22,56.7,2.331,519.6
1256,server_est,9.4779,4.1313,29.05,63.17,0.891,226.96
1257,server_est,8.7278,2.8586,25.46,66.32,1.117,200.75
1258,server_est,9.0957,3.6675,16.4,59.22,2.506,563.48
1259,server_est,8.3094,3.3211,25.93,49.61,2.207,554.71
1260,server_est,9.2652,4.6965,34.87,82.25,0.57,118.18
1261,server_est,10.8342,3.1872,36.45,87.21,0.435,154.8
1262,server_est,8.5205,3.548,26.17,57.86,0.988,268.11
1263,server_est,10.1684,3.6558,24.29,58.14,2.114,373.2
