sensor_id,region,latitude,longitude,temperature,humidity,vibration,network_traffic
900,server_ouest,9.2718,0.7843,35.22,74.2,0.633,115.04
901,server_ouest,8.9086,1.7242,24.86,36.72,1.739,518.47
902,server_ouest,10.2008,1.691,29.93,60.51,0.902,238.96
903,server_ouest,8.3067,1.4235,23.24,50.46,1.535,585.46
904,server_ouest,9.0911,1.5904,27.36,58.16,1.097,302.79
905,server_ouest,9.5996,0.3926,31.09,77.25,0.571,93.07
906,server_ouest,9.1162,2.066,25.99,65.64,0.934,267.89
907,server_ouest,9.9241,1.5698,16.25,54.46,2.682,547.92
908,server_ouest,7.9904,1.1759,24.43,52.6,0.757,242.09
909,server_ouest,8.2244,0.8817,31.14,85.52,0.539,127.09
910,server_ouest,10.2358,1.2605,25.01,68.41,1.208,215.52
911,server_ouest,9.5624,0.653,26.61,69.33,1.077,264.24
912,server_ouest,9.0809,0.3398,23.12,47.99,3.175,558.11
913,server_ouest,9.5683,0.9641,22.04,42.64,3.192,589.01
914,server_ouest,9.2214,1.1823,35.5,79.19,0.495,122.72
915,server_ouest,9.838,1.3758,29.49,72.41,1.074,284.15
916,server_ouest,10.8022,1.8265,24.63,42.66,2.814,579.78
917,server_ouest,9.42,0.7576,32.21,64.62,1.02,201.1
918,server_ouest,9.0598,-0.3132,37.02,76.4,0.545,118.49
919,server_ouest,9.7124,1.8926,24.18,61.47,1.119,304.95
920,server_ouest,10.6857,1.9109,18.8,49.41,1.792,574.3
921,server_ouest,9.1479,1.8179,30.78,67.67,0.928,201.0
922,server_ouest,10.1904,1.3351,33.34,83.66,0.487,89.63
923,server_ouest,9.81,0.8391,20.51,60.22,2.571,528.17
924,server_ouest,9.9922,0.6268,27.73,60.71,0.863,196.92
925,server_ouest,8.7261,1.6423,29.2,61.7,0.783,281.25
926,server_ouest,10.9625,2.0152,40.0,85.38,0.429,142.83
927,server_ouest,9.9087,1.182,21.62,38.61,2.35,397.11
928,server_ouest,9.2969,2.2482,30.2,58.03,0.755,165.17
929,server_ouest,10.4545,1.1438,35.11,77.62,0.499,143.46
930,server_ouest,9.2023,0.9671,34.71,70.61,0.477,120.05
931,server_ouest,9.9696,1.9376,24.4,54.14,2.664,518.16
932,server_ouest,9.5138,0.1751,23.31,56.25,2.111,503.81
933,server_ouest,8.6203,2.1892,32.22,61.13,1.411,245.19
934,server_ouest,10.141,1.6466,21.24,45.76,2.825,605.24
935,server_ouest,9.8052,-0.0259,33.93,80.14,0.475,97.41
936,server_ouest,10.4272,1.7707,25.06,57.52,0.748,259.69
937,server_ouest,9.6504,1.369,14.03,45.71,2.154,449.97
938,server_ouest,10.1964,1.1266,34.12,78.59,0.378,147.11
939,server_ouest,8.3233,0.6858,27.39,62.28,0.894,281.09
940,server_ouest,8.8005,1.9101,35.17,84.3,0.631,135.53
941,server_ouest,9.7681,0.983,36.76,80.55,0.306,129.7
942,server_ouest,7.933,0.6645,25.35,46.15,2.932,509.72
943,server_ouest,8.862,0.9735,35.33,77.86,0.459,103.87
944,server_ouest,8.1389,1.1822,23.27,50.85,2.829,489.75
945,server_ouest,8.0744,-0.0196,36.33,74.78,0.493,126.07
946,server_ouest,10.3111,1.1856,31.43,71.12,0.474,94.26
947,server_ouest,8.9642,0.9383,28.9,53.54,1.089,319.02
948,server_ouest,9.1067,0.7856,18.59,49.08,2.657,577.2
949,server_ouest,8.8783,0.7339,28.2,61.05,0.885,173.69
950,server_ouest,9.0096,1.0072,29.83,58.2,0.764,194.53
951,server_ouest,10.5489,0.156,27.87,57.91,1.068,292.45
952,server_ouest,9.5801,2.1921,23.72,38.17,3.202,364.5
953,server_ouest,8.4689,0.3347,23.93,34.68,2.473,608.39
954,server_ouest,9.1739,1.3643,38.52,81.55,0.457,141.41
955,server_ouest,10.3364,1.1656,35.47,83.81,0.674,126.43
956,server_ouest,9.3243,1.9475,31.87,47.64,0.96,250.71
957,server_ouest,9.7128,1.006,27.73,62.08,1.409,226.26
958,server_ouest,8.7127,0.0986,26.51,40.51,2.655,530.12
959,server_ouest,9.3189,-0.1882,26.31,53.21,1.038,201.78
960,server_ouest,9.1521,1.2058,31.26,67.56,0.873,296.56
961,server_ouest,8.4763,1.8356,36.29,78.62,0.554,128.63
962,server_ouest,9.3741,1.8075,30.9,62.55,0.97,231.39
963,server_ouest,8.6293,1.007,39.01,77.65,0.588,112.67
964,server_ouest,9.1822,0.1122,32.35,71.41,0.66,127.12
965,server_ouest,9.5812,1.0082,28.21,67.6,0.816,343.99
966,server_ouest,8.5472,2.0329,33.57,79.2,0.488,120.89
967,server_ouest,11.2773,0.8644,19.79,62.82,2.518,432.84
968,server_ouest,9.8,0.926,17.81,32.91,2.554,418.76
969,server_ouest,11.069,1.4544,18.95,46.49,2.931,393.12
970,server_ouest,10.5595,0.4227,34.24,74.37,0.419,141.78
971,server_ouest,10.008,0.2952,20.28,32.24,2.299,460.44
972,server_ouest,8.4264,1.499,32.72,84.11,0.484,127.63
973,server_ouest,10.0278,1.8053,28.4,48.41,0.861,184.75
974,server_ouest,9.1145,1.8205,29.03,62.76,0.851,230.34
975,server_ouest,9.4333,1.447,24.55,59.88,3.477,443.47
976,server_ouest,9.8106,2.6408,25.89,53.28,1.451,190.26
977,server_ouest,9.8971,2.0838,37.64,82.13,0.454,113.29
978,server_ouest,9.9717,1.1045,30.95,66.42,0.587,285.62
979,server_ouest,8.3531,1.4575,35.22,83.33,0.673,107.81
980,server_ouest,9.3653,2.1888,26.04,56.5,1.178,346.21
981,server_ouest,9.2526,2.083,24.25,57.85,3.844,539.31
982,server_ouest,9.5798,1.8543,32.93,85.55,0.486,120.75
983,server_ouest,9.9735,1.5937,26.62,62.49,0.844,278.05
984,server_ouest,9.2447,1.066,30.1,61.95,1.042,337.03
985,server_ouest,11.3935,1.1709,26.86,49.42,1.237,251.6
986,server_ouest,7.8844,2.3245,23.48,71.42,0.755,230.73
987,server_ouest,9.4388,1.9088,23.15,42.05,2.248,589.7
