sensor_id,region,latitude,longitude,temperature,humidity,vibration,network_traffic
600,server_sud,6.1517,2.2708,20.92,47.53,2.792,651.47
601,server_sud,5.5656,2.3829,34.01,78.08,0.61,104.31
602,server_sud,7.1085,1.8867,37.45,84.06,0.602,105.62
603,server_sud,8.2851,2.4107,26.2,54.12,0.959,258.67
604,server_sud,5.8324,2.3193,22.72,37.4,1.803,430.17
605,server_sud,6.4895,1.4756,33.63,81.73,0.522,76.32
606,server_sud,7.3341,2.8073,26.64,62.11,0.91,181.71
607,server_sud,6.0465,2.2586,34.04,82.4,0.534,100.67
608,server_sud,7.061,2.7925,27.89,71.79,0.831,267.63
609,server_sud,6.2067,3.2948,32.01,84.54,0.404,122.11
610,server_sud,5.8239,2.2447,17.43,38.53,2.281,526.05
611,server_sud,6.6642,2.1719,32.07,82.55,0.537,131.82
612,server_sud,5.8102,2.719,25.14,54.01,1.188,262.76
613,server_sud,5.4503,1.5831,32.33,81.2,0.566,128.22
614,server_sud,5.6453,2.9965,22.61,71.5,0.817,218.14
615,server_sud,6.1422,1.614,33.63,75.85,0.544,147.92
616,server_sud,6.6182,1.9355,35.51,74.16,0.456,93.8
617,server_sud,6.0529,1.8967,29.46,60.01,1.348,248.61
618,server_sud,5.9158,2.8797,28.14,61.0,0.871,164.06
619,server_sud,5.1745,2.1039,29.99,57.17,1.157,242.64
620,server_sud,5.987,2.1555,19.92,42.18,2.302,520.91
621,server_sud,7.0,2.6201,36.64,68.16,0.63,94.28
622,server_sud,5.3024,1.9812,17.26,39.7,2.56,296.25
623,server_sud,5.5405,2.5705,29.86,54.75,0.99,289.24
624,server_sud,6.5358,1.9891,28.27,65.19,1.232,236.68
625,server_sud,7.9087,2.4692,34.53,84.91,0.499,101.7
626,server_sud,5.9275,2.2736,18.15,58.5,2.355,692.59
627,server_sud,5.6838,1.1981,21.82,39.17,2.52,562.75
628,server_sud,6.5978,3.5292,25.32,68.2,1.059,261.06
629,server_sud,7.2962,2.2083,35.22,73.78,0.611,126.02
630,server_sud,5.7236,1.9196,29.97,54.88,1.443,241.28
631,server_sud,6.2928,2.8176,30.11,65.29,0.58,294.0
632,server_sud,7.1236,2.5126,28.45,53.45,1.176,283.17
633,server_sud,6.3583,2.4715,28.8,67.67,0.874,299.03
634,server_sud,6.3385,3.1553,34.39,92.52,0.465,130.63
635,server_sud,5.6596,2.6876,19.99,51.07,1.88,531.73
636,server_sud,7.6074,2.2814,34.34,71.12,0.315,106.58
637,server_sud,6.8772,3.4153,30.67,68.77,1.105,292.15
638,server_sud,7.956,2.3674,25.87,58.89,0.848,252.55
639,server_sud,6.5576,2.2543,34.74,78.36,0.544,99.05
640,server_sud,5.8008,1.9222,21.83,52.55,1.648,448.47
641,server_sud,5.9405,2.9131,27.18,29.79,2.706,599.44
642,server_sud,6.1066,2.1005,19.25,54.45,1.686,510.26
643,server_sud,7.0027,2.0243,14.68,49.52,2.984,415.72
644,server_sud,7.1545,2.1275,23.62,54.93,1.107,260.31
645,server_sud,6.4953,2.9189,20.99,34.43,1.672,602.16
646,server_sud,6.7657,1.0087,22.46,51.91,0.891,263.12
647,server_sud,7.6769,2.54,27.96,69.9,1.0,222.49
648,server_sud,6.1139,2.5621,21.34,44.45,1.821,582.08
649,server_sud,6.9408,2.6339,39.0,85.85,0.444,129.21
650,server_sud,6.3326,1.7527,37.59,87.01,0.645,125.27
651,server_sud,6.8536,1.9907,16.06,48.31,3.078,459.85
652,server_sud,7.6875,3.4968,29.49,67.26,0.807,208.3
653,server_sud,5.5036,2.1142,22.65,57.23,0.857,253.3
654,server_sud,6.9805,2.6746,21.84,51.79,3.419,500.09
655,server_sud,6.824,1.9502,17.53,42.33,1.662,506.8
656,server_sud,5.9819,3.3732,17.61,36.82,2.191,484.57
